sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
176,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"(1/(4*a), 0)",,,Coordinate(Focus(G)),G: Parabola;Expression(G) = (x = a*y^2);a: Number;a>0,,
208,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,1,1,1,1,15,15,False,15,,,True,sqrt(5),sqrt(b^2+1),sqrt(b^2+1),Eccentricity(C),"C: Hyperbola;b: Number;O: Origin;P: Point;F: Point;b>0;Expression(C) = (x^2 - y^2/b^2 = 1);RightFocus(C) = F;PointOnCurve(P, C);Abs(LineSegmentOf(O, P)) = 2*b;AngleOf(P, O, F) = pi/3",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
221,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,-8,-8,-8,m,G: Hyperbola;m: Number;Expression(G) = (m*y^2 + x^2 = 1);Length(ImageinaryAxis(G))*3 = FocalLength(G),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
248,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(3)-1,sqrt(1-b^2/a^2),sqrt(1-b^2/a^2),Eccentricity(G),"G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;A: Point;B: Point;F: Point;a > b;b > 0;L:Line;O:Origin;RightFocus(G) = F;PointOnCurve(O,L);Intersection(L,G) = {A, B};Abs(LineSegmentOf(A, B)) = 4;Abs(LineSegmentOf(B, F)) = 2*sqrt(3);AngleOf(A, B, F) = ApplyUnit(30, degree)",13,13
262,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,62,62,62,62,15,15,False,15,,,True,3/4,XCoordinate not found,XCoordinate not found,XCoordinate(G),"C: Parabola;Expression(C) = (y^2 = x);l: Line;PointOnCurve(Focus(C), l);A: Point;B: Point;Intersection(l, C) = {A, B};Abs(LineSegmentOf(A, B)) = 2;IsChordOf(LineSegmentOf(A, B), C);G: Point;MidPoint(LineSegmentOf(A, B)) = G",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
265,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,2*sqrt(6) + sqrt(3),Min not found,Min not found,"Min(Abs(LineSegmentOf(A, B)) + Abs(LineSegmentOf(A, F)))","C: Hyperbola;D: Circle;A: Point;B: Point;F: Point;Expression(C) = (x^2/3 - y^2/3 = 1);Expression(D) = (x^2 + (y + 3*sqrt(2))^2 = 3);RightFocus(C) = F;PointOnCurve(A, LeftPart(C));PointOnCurve(B, D)",1,1
267,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,5/3,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"F1: Point;F2: Point;LeftFocus(G) = F1;RightFocus(G) = F2;G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;P: Point;PointOnCurve(P, G) = True;Abs(LineSegmentOf(P, F1)) + Abs(LineSegmentOf(P, F2)) = 3*b;Abs(LineSegmentOf(P, F1))*Abs(LineSegmentOf(P, F2)) = (9/4)*a*b",1,1
330,Ellipse,Ellipse,Range,Range,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,"(pi/2,3*pi/4)+(3*pi/2,7*pi/4)",Range(alpha) not found,Range(alpha) not found,Range(alpha),"G: Ellipse;alpha:Number;0<=alpha;alpha<2*pi;Expression(G) = (x^2*Sin(alpha) - y^2*Cos(alpha) = 1);PointOnCurve(Focus(G), yAxis)",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
360,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,62,62,62,62,15,15,False,15,,,True,2,LineSegmentOf not found,2,"LineSegmentOf(F, R)","C: Parabola;P: Point;Q: Point;F: Point;M: Point;N: Point;R: Point;l: Line;Expression(C) = (y^2 = 4*x);Focus(C) = F;Directrix(C) = l;PointOnCurve(P, C);IsPerpendicular(LineSegmentOf(P,Q),l);FootPoint(LineSegmentOf(P,Q),l)=Q;MidPoint(LineSegmentOf(P,Q))=M;MidPoint(LineSegmentOf(P,F))=N;Intersection(LineSegmentOf(M,N),xAxis)=R;AngleOf(N, R, F) = ApplyUnit(60, degree)",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
380,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,y=pm*(sqrt(2)/2)*x,y=pm*sqrt(2)*x,y=pm*sqrt(2)*x,Expression(Asymptote(G)),G: Hyperbola;Expression(G) = (-x^2/24 + y^2/12 = 1),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
391,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,2,k: Number,k: Number,k,"C: Parabola;G: Line;M: Point;A: Point;B: Point;Expression(C) = (y^2 = 8*x);Coordinate(M) = (-2, 2);k:Number;PointOnCurve(Focus(C), G);Slope(G) = k;Intersection(G, C) = {A, B};DotProduct(VectorOf(M, A), VectorOf(M, B)) = 0",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
417,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,54,54,62,62,15,15,False,15,,,False,2*x-y-1=0,Expression(G)= (x^2/1 + y^2/2 = 1),Expression(G)= (x^2/1 + y^2/2 = 1),Expression(l),"P: Point;Coordinate(P) = (1, 1);l: Line;PointOnCurve(P, l);G: Hyperbola;Expression(G) = (-x^2 + y^2/2 = 1);M: Point;N: Point;Intersection(l, G) = {M, N};MidPoint(LineSegmentOf(M, N)) = P",54 54 54 54 54 54 54 54 54 62 62 62 62 62 62,54 54 54 54 54 54 54 54 54 62 62 62 62 62 62
421,Parabola,Parabola,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,10,11,11,"Distance(M,yAxis)","G: Parabola;M: Point;Expression(G) = (y^2 = 4*x);PointOnCurve(M, G);Distance(M, Focus(G)) = 11",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
450,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,pm*4,m: Number,m: Number,m,"C: Parabola;p: Number;A: Point;p>0;Expression(C) = (x^2 = 2*p*y);Coordinate(A) = (m, 4);PointOnCurve(A, C);Distance(A, Focus(C)) = 5;m:Number",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
465,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*(4/3)*x,y=-4*x/3,y=-4*x/3,Expression(Asymptote(C)),C: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);Eccentricity(C) = 5/3,21,21
472,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,9,9,56,56,15,15,False,15,,,False,3,m: Number,m: Number,m,G: Hyperbola;m: Number;H: Parabola;Expression(G) = (-x^2 + y^2/m = 1);Expression(H) = (x^2 = 8*y);Focus(H) = OneOf(Focus(G)),9 1 1 1 1 1 1 56 56 56 56 56 56 56 56,9 1 1 1 1 1 1 56 56 56 56 56 56 56 56
475,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,1,1,1,1,15,15,False,15,,,True,sqrt(13)/3,Eccentricity not found,Eccentricity not found,Eccentricity(G),"G: Hyperbola;Expression(Asymptote(G)) = (3*x+pm*2*y = 0);PointOnCurve(Focus(G), yAxis)",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
481,Hyperbola,Hyperbola,Area,Area,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,1,Area not found,Area not found,"Area(TriangleOf(F1, P, F2))","G: Hyperbola;Expression(G) = (x^2/4 - y^2 = 1);F1: Point;F2: Point;Focus(G) = {F1, F2};P: Point;PointOnCurve(P, G);AngleOf(F1, P, F2) = ApplyUnit(90, degree)",1,1
486,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,0,0,62,62,15,15,False,15,,,False,x^2/18+y^2/9=1,No equation found,No equation found,Expression(C),"C: Ellipse;O: Origin;Center(C) = O;F: Point;Coordinate(F) = (3, 0);OneOf(Focus(C)) = F;l: Line;PointOnCurve(F, l);A: Point;B: Point;Intersection(l, C) = {A, B};N: Point;Coordinate(N) = (2, -1);MidPoint(LineSegmentOf(A, B)) = N",0 0 56 56 56 56 62 62 62 62 62 62 62 62 62,0 0 56 56 56 56 62 62 62 62 62 62 62 62 62
487,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,8,"Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B))","l: Line;G: Parabola;A: Point;B: Point;Expression(G) = (y^2 = 4*x);Slope(l)=1;PointOnCurve(F,l);Focus(G)=F;F: Point;Intersection(l,G)={A,B}",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
489,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(2),sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;b: Number;a: Number;G: Circle;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);Expression(G) = (y^2 + (x - 2)^2 = 2);IsTangent(Asymptote(C),G)",21,21
504,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,1,sqrt(a),sqrt(a),a,G: Hyperbola;a: Number;H: Ellipse;Expression(G) = (-y^2/2 + x^2/a = 1);Expression(H) = (x^2/4 + y^2/a^2 = 1);Focus(G) = Focus(H),1,1
507,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(3)/3,sqrt(1-b^2/a^2),sqrt(1-b^2/a^2),Eccentricity(G),"G: Ellipse;b: Number;a: Number;F1: Point;P: Point;F2: Point;a > b;b > 0;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);LeftFocus(G)=F1;L:Line;PointOnCurve(F1, L);IsPerpendicular(L,xAxis);Intersection(L, G) = P;RightFocus(G)=F2;AngleOf(F1, P, F2) = ApplyUnit(60, degree)",13,13
529,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,1,Slope not found,Slope not found,"Slope(LineOf(K,P))","C: Parabola;l: Line;K: Point;P: Point;F: Point;x1:Number;y1:Number;y1>0;Expression(C) = (y^2 = 4*x);Coordinate(P) = (x1, y1);Focus(C) = F;Directrix(C)=l;Intersection(l, xAxis) = K;PointOnCurve(P, C);WhenMax(Abs(LineSegmentOf(P,K))/Abs(LineSegmentOf(P,F)))",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
533,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,2*sqrt(3)/3,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;a: Number;b: Number;c: Number;F: Point;O: Origin;d: Number;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);Coordinate(F) = (c, 0);OneOf(Focus(C)) = F;Distance(F, Asymptote(C)) = d;Abs(LineSegmentOf(O, F)) = 2*d",13,13
551,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,1,1,1,1,15,15,False,15,,,True,x^2 - y^2/3 = 1,No equation found,No equation found,Expression(G),"G: Hyperbola;H: Point;O: Origin;Coordinate(H) = (2, 3);Center(G) = O;PointOnCurve(Focus(G), xAxis);FocalLength(G) = 2*c;2*c = 4;c: Number;PointOnCurve(H, G)",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
561,Ellipse,Ellipse,Area,Area,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,56,56,56,56,1,1,False,1,,,False,120*sqrt(3)/11,33.2475,33.2475,"Area(TriangleOf(A, P, F))","G: Ellipse;Expression(G) = (x^2/16 + y^2/7 = 1);F: Point;RightFocus(G) = F;P: Point;PointOnCurve(P, G);A: Point;Coordinate(A) = (0, 3*sqrt(3));WhenMax(Perimeter(TriangleOf(A, P, F)))",56,56
565,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,29,29,62,62,15,15,False,15,,,False,5,Expression '-lambda^2 + 9*mu^2' not found,Expression '-lambda^2 + 9*mu^2' not found,-lambda^2 + 9*mu^2,"G: Parabola;Expression(G) = (y^2 = 4*x);H: Line;Expression(H) = (sqrt(3)*x - y - sqrt(3) = 0);A: Point;B: Point;Intersection(H, G) = {A, B};O: Origin;F: Point;Intersection(H,xAxis) = F;lambda: Number;mu: Number;VectorOf(O, F) = lambda*VectorOf(O, A) + mu*VectorOf(O, B)",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
570,Hyperbola,Hyperbola,Range,Range,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,65,65,13,13,15,15,False,15,,,False,"(-2, 4)","(-2, 4)","(-2, 4)",Range(m),G: Hyperbola;Expression(G) = (x^2/(4 - m) - y^2/(m + 2) = 1);m: Real,65 65 65 65 65 65 65 13 13 13 13 13 13 13 13,65 65 65 65 65 65 65 13 13 13 13 13 13 13 13
572,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,9,"Abs(LineSegmentOf(M, N)) not found","Abs(LineSegmentOf(M, N)) not found","Abs(LineSegmentOf(M, N))","C: Parabola;F: Point;P: Point;M: Point;N: Point;l: Line;Expression(C) = (y^2=8*x);Focus(C) = F;Directrix(C)=l;PointOnCurve(P, l);Intersection(LineOf(P,F),C)={M,N};VectorOf(P,M)=3*VectorOf(M,F)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
575,Parabola,Parabola,Distance,Distance,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,2*sqrt(2),Min not found,Min not found,"Min(Distance(P, A) + Distance(P, Directrix(G)))","G: Parabola;A: Point;P: Point;Expression(G) = (x^2 = 8*y);Coordinate(A) = (2, 0);PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
578,Other,Other,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,-12,,,Min(z),x:Number;y:Number;2*x + y - 2 <= 0;-2*x + y^2 <= 0;z=x+y;z:Number,,
589,Ellipse,Ellipse,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,0,0,62,62,15,15,False,15,,,True,"[sqrt(2), +oo)","(-oo, -1)+(-1, 0)+(0, 1)+(1, +oo)","(-oo, -1)+(-1, 0)+(0, 1)+(1, +oo)",Range(a),"G: Ellipse;Expression(G) = (y^2 + x^2/a^2 = 1);a: Real;a>1;P: Point;PointOnCurve(P, G);O: Origin;l: Line;PointOnCurve(P, l);PointOnCurve(O, l);H: Circle;Expression(H) = (x^2 + y^2 = a^2 + 1);A: Point;B: Point;Intersection(l, H) = {A, B};a^2 = Abs(LineSegmentOf(P, A))*Abs(LineSegmentOf(P, B)) + 1",0 62 62 62 62 62 62 62 62 62 62 62 62 62 62,0 62 62 62 62 62 62 62 62 62 62 62 62 62 62
590,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,62,62,62,62,1,1,False,1,,,False,3,a,a,a,"M: Point;Coordinate(M) = (1, t);t: Number;t>0;H: Parabola;Expression(H) = (y^2 = 2*p*x);p: Number;p>0;PointOnCurve(M, H);Distance(M, Focus(H)) = 5;G: Hyperbola;Expression(G) = (-y^2/9 + x^2/a^2 = 1);a: Real;a>0;A: Point;LeftVertex(G) = A;IsParallel(OneOf(Asymptote(G)), LineOf(A, M)) = True",62,62
593,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,56,56,56,56,1,1,False,1,,,False,-sqrt(7)/3,Slope not found,Slope not found,Slope(l),"l: Line;C: Ellipse;F: Point;A: Point;B: Point;O: Origin;Expression(C) = (x^2/9 + y^2/7 = 1);LeftFocus(C) = F;PointOnCurve(O, l);Intersection(l, C) = {A, B};Quadrant(A)=2;AngleOf(F, A, B) = AngleOf(B, F, O)",56,56
603,Parabola,Parabola,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,2,"Distance(P,","Distance(P,","Distance(P,Directrix(G))","G: Parabola;P: Point;Expression(G) = (x^2 = -4*y);Coordinate(P) = (2, -1);PointOnCurve(P,G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
611,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*(3/4)*x,y=pm*(sqrt(m)/4)*x,y=pm*(sqrt(m)/4)*x,Expression(Asymptote(G)),G: Hyperbola;m: Number;Expression(G) = (x^2/16 - y^2/m = 1);FocalLength(G) = 10,21,21
